OBJECTID,HSISID,Name,Address 1,Address 2,City,State,Postal Code,Phone Number,Restaurant Open Date,Facility Type,Longitude,Latitude,geo_point_2d
629,04092016121,PANERA BREAD #1642,2234 WALNUT  ST,,CARY,NC,27511,(919) 233-2221,2012-03-28,1 - Restaurant,-78.74288194,35.7554271,"35.755434167263935, -78.74288457835792"
674,04092016270,"DOHERTY'S IRISH PUB   RESTAURANT",1979 HIGH HOUSE RD,,CARY,NC,27519,(919) 388-9930,2012-10-01,1 - Restaurant,-78.84865558,35.78922067,"35.78922774315409, -78.84865825132587"
810,04092016715,SPRING HILL SUITES KITCHEN,1128 LEDSOME LANE,,CARY,NC,27511,(919) 977-7244,2014-07-11,1 - Restaurant,-78.74888986,35.7617631,"35.761770167887086, -78.7488924967009"
812,04092016722,LUCKY CHICKEN II,851 BASS PRO LANE,,CARY,NC,27513,(919) 678-3153,2014-07-08,1 - Restaurant,-78.77007336,35.83116267,"35.83116975455087, -78.77007600888682"
821,04092016753,LA BUENA VIDA,1388 KILDAIRE FARM RD,,CARY,NC,27511,(919) 678-3449,2014-09-05,1 - Restaurant,-78.78379576,35.75917085,"35.75917791650319, -78.78379841049578"
838,04092016800,PUBLIX #1466 DELI,1020 BRADFORD PLAZA WAY,,CARY,NC,27513,(919) 460-2082,2014-10-28,1 - Restaurant,-78.84558557,35.79325258,"35.79325965906674, -78.84558824551502"
842,04092016808,HARRIS TEETER #257 STARBUCKS,2080 KILDAIRE FARM RD,,CARY,NC,27518,(919) 233-9483,2014-11-10,1 - Restaurant,-78.78068643,35.73567118,"35.73567824535509, -78.78068907847992"
852,04092016844,DUCK DONUTS,100 WRENN DR,STE #101,CARY,NC,27511,(919) 468-8722,2014-12-17,1 - Restaurant,-78.78400793,35.76514685,"35.76515391610388, -78.7840105810301"
855,04092016857,BIG MIKES BBQ,1222 NW MAYNARD ROAD,,CARY,NC,27513,(919) 799-2023,2015-01-16,1 - Restaurant,-78.80932559,35.78486593,"35.784873000153084, -78.8093282515348"
858,04092016886,METLIFE CARY CAFE MARKETPLACE,201 METLIFE WAY,,CARY,NC,27513,(919) 538-7017,2015-02-23,1 - Restaurant,-78.79975401,35.83005542,"35.830062503203266, -78.79975666793804"
860,04092016887,COFFEE   (METLIFE 2),201 METLIFE WAY,,CARY,NC,27513,(919) 538-7017,2015-02-23,1 - Restaurant,-78.79975401,35.83005542,"35.830062503203266, -78.79975666793804"
868,04092016912,"CAPPOLLA'S PIZZA   GRILL",2462 WALNUT ST,,CARY,NC,27518,(919) 854-7777,2015-04-30,1 - Restaurant,-78.74427277,35.7532321,"35.75323917336935, -78.74427541319983"
888,04092016962,CHANTICLEER CAFE   BAKERY,6490 TRYON RD,,CARY,NC,27518,(919) 781-4810,2015-06-22,1 - Restaurant,-78.76236786,35.74415868,"35.7441657485787, -78.7623704993258"
889,04092016961,TOWNPLACE SUITES CARY/WESTON PKWY.,120 SAGE COMMONS WAY,,CARY,NC,27513,(919) 678-0005,2015-06-24,1 - Restaurant,-78.80567601,35.82777691,"35.82778399459933, -78.80567866809575"
905,04092016996,DICED GOURMET SALADS AND WRAPS,1377 KILDAIRE FARM RD,,CARY,NC,27511,(919) 234-0785,2015-08-11,1 - Restaurant,-78.78193785,35.75976468,"35.759771748933424, -78.78194049746463"
923,04092017039,BISTRO IN THE PARK,201 HARRISON OAKS BLVD,,CARY,NC,27513-5544,(919) 677-1840,2015-11-12,1 - Restaurant,-78.77139094,35.83301608,"35.83302316757003, -78.77139358694794"
948,04092017110,PRIMO PIZZA NY STYLE,682 CARY TOWNE BLVD,,CARY,NC,27511,(919) 380-2729,2015-12-16,1 - Restaurant,-78.76562102,35.77485801,"35.77486508330142, -78.76562366458889"
990,04092017232,TAZZA KITCHEN - SCV,600 LEDGESTONE WAY,,CARY,NC,27519,(919) 651-8281,2016-05-10,1 - Restaurant,-78.84859333,35.79156092,"35.79156799389908, -78.84859600625032"
991,04092017241,TACOS ESTILO HIDALGO,748 E CHATHAM ST,STE B,CARY,NC,27511,(919) 465-1435,2016-06-15,1 - Restaurant,-78.76514284,35.79157176,"35.791578838482266, -78.76514549164654"
1006,04092017287,HARRIS TEETER #112 STARBUCKS,270 GRANDE HEIGHTS DR,,CARY,NC,27513,(919) 460-4326,2016-08-15,1 - Restaurant,-78.78059125,35.80471168,"35.80471875401835, -78.78059390784402"
1018,04092017320,"BJ'S RESTAURANT",5707 DILLARD DR,,CARY,NC,27518,(919) 710-8170,2016-09-12,1 - Restaurant,-78.74368928,35.75540943,"35.75541650251493, -78.7436919221216"
1102,04092017613,GONZA TACOS Y TEQUILA,525 NEW WAVERLY PL,SUITE 104,CARY,NC,27518,(919) 653-7310,2017-05-02,1 - Restaurant,-78.77756452,35.73853427,"35.73854133532604, -78.77756716738376"
1121,04092017647,SOUTHERN HARVEST AT THE MATTHEWS HOUSE,317 W CHATHAM ST,,CARY,NC,27511,(919) 308-6665,2017-07-27,1 - Restaurant,-78.78723602,35.78648509,"35.78649216211857, -78.78723867342852"
1130,04092017626,NO. 1 PHO,5025 ARCO ST,,CARY,NC,27519,(919) 297-2975,2017-06-01,1 - Restaurant,-78.88191823,35.83348308,"35.83349016139615, -78.8819209102438"
1154,04092017721,LAFARM BAKERY   CAFE W.F. WEST CARY,5055 ARCO ST,,CARY,NC,27519,(984) 228-0300,2017-11-03,1 - Restaurant,-78.88191823,35.83348308,"35.83349016139615, -78.8819209102438"
1176,04092017766,"STARBUCK'S TARGET #961",2021 WALNUT ST,,CARY,NC,27511,(919) 233-4451,2017-12-19,1 - Restaurant,-78.73860945,35.75778451,"35.75779158076676, -78.7386120921936"
1214,04092017846,HOMEWOOD SUITES CARY FOODSERVICE,555 CROSSROADS BLVD,,CARY,NC,27518,(919) 745-8589,2018-05-01,1 - Restaurant,-78.7325332,35.75844126,"35.75844832963699, -78.73253583504821"
1252,04092017938,SOHOT,1937 HIGH HOUSE RD,,CARY,NC,27519,(919) 694-5510,2018-09-20,1 - Restaurant,-78.84865558,35.78922067,"35.78922774315409, -78.84865825132587"
1253,04092017939,MCDONALDS AT CROSSROADS #13363,1830 WALNUT ST,,CARY,NC,27511,(919) 233-0080,2018-09-28,1 - Restaurant,-78.74333879,35.75902819,"35.75903525702904, -78.7433414249748"
1261,04092017946,MCDONALDS #34433,4980 CARY GLEN BLVD,,CARY,NC,27519,(919) 462-9904,2018-09-27,1 - Restaurant,-78.90188206,35.81927309,"35.819280167305315, -78.90188475430682"
1347,04092018132,BURGER FI,2001 WALNUT ST,101,CARY,NC,27518-9205,(919) 900-8959,2019-07-08,1 - Restaurant,-78.7414297,35.75881135,"35.75881841935425, -78.74143233508646"
1355,04092018145,GAMERS GEEKERY   TAVERN,107 EDINBURGH SOUTH DR,,CARY,NC,27511,(919) 650-2366,2019-07-26,1 - Restaurant,-78.79806693,35.73669743,"35.73670449695699, -78.79806958624583"
1407,04092018270,SEOL GRILLE,2310 WALNUT ST,,CARY,NC,27518,(984) 241-9112,2019-12-16,1 - Restaurant,-78.74212586,35.75337568,"35.75338275402795, -78.7421284937503"
1445,04092018345,OLIVE TREE MARKET,270 NOTTINGHAM DR,,CARY,NC,27511,(919) 481-0321,2020-04-08,1 - Restaurant,-78.74295028,35.76835892,"35.76836599423899, -78.74295291652557"
1493,04092018423,CHICKEN SALAD CHICK,302 COLONADES WAY,,CARY,NC,27518,(984) 200-5516,2020-08-20,1 - Restaurant,-78.77756452,35.73853427,"35.73854133532604, -78.77756716738376"
1500,04092018434,BOJANGLES #52,5856 TRYON RD,,CARY,NC,27518,(919) 424-7922,2020-09-03,1 - Restaurant,-78.7400887,35.74649119,"35.74649825781309, -78.74009133498245"
1505,04092018443,DI FARA,111 E CHATHAM ST,,CARY,NC,27511,(919) 678-5300,2020-09-15,1 - Restaurant,-78.78051934,35.78769276,"35.787699838007065, -78.78052199171844"
1541,04092018507,SPICES HUT,10210 GREEN LEVEL CHURCH RD,,CARY,NC,27519,(919) 377-2226,2020-12-19,1 - Restaurant,-78.90165656,35.82321475,"35.823221831814465, -78.90165925203043"
1672,04092018703,TACO ADDICTS,131 CROSSROADS BLVD,,CARY,NC,27518,(919) 896-8043,2021-09-02,1 - Restaurant,-78.74226136,35.76176402,"35.76177108939164, -78.74226399767534"
62,04092011186,KASHIN RESTAURANT,309 CROSSROADS BLVD,,CARY,NC,27511-6894,(919) 851-7101,1992-11-25,1 - Restaurant,-78.73871469,35.76064643,"35.76065349732471, -78.73871732686946"
104,04092011977,HONEYBAKED HAM COMPANY,423 CROSSROADS BLVD,,CARY,NC,27511-6896,(919) 854-1222,1996-11-22,1 - Restaurant,-78.73871469,35.76064643,"35.76065349732471, -78.73871732686946"
133,04092012855,BUFFALOE LANES - CARY,151 HIGH HOUSE RD,,CARY,NC,27511-6715,(919) 468-8684,1998-12-31,1 - Restaurant,-78.79635109,35.78232843,"35.782335502832204, -78.79635374563802"
144,04092012996,GLENAIRE DINING SERVICES,4000 GLENAIRE CIRCLE,,CARY,NC,27511-3802,(919) 460-8095,1999-08-19,1 - Restaurant,-78.78516043,35.77627942,"35.776286497224085, -78.78516308415941"
145,04092013020,LA FARM BAKERY,4248 NW CARY PKY,,CARY,NC,27513-8478,(919) 657-0657,1999-10-13,1 - Restaurant,-78.82751593,35.79057967,"35.7905867422602, -78.82751859286685"
209,04092013504,SERENDIPITY GOURMET DELI,118 S ACADEMY ST,,CARY,NC,27511-3302,(919) 469-1655,2002-01-24,1 - Restaurant,-78.78150925,35.78674709,"35.78675416774184, -78.78151190726547"
213,04092013541,CHINA ONE,661 CARY TOWNE BLVD,,CARY,NC,27511-4219,(919) 461-0088,2002-02-28,1 - Restaurant,-78.76675868,35.77660368,"35.77661074879478, -78.7667613259852"
218,04092013590,"MAXIMILLIAN'S GRILLE AND WINE BAR",8314 CHAPEL HILL RD,,CARY,NC,27513-4051,(919) 465-2455,2002-04-29,1 - Restaurant,-78.77617019,35.79224525,"35.792252329235474, -78.77617283826096"
247,04092013761,HARRIS TEETER #257 DELI,2080 KILDAIRE FARM RD,,CARY,NC,27511,(919) 233-9483,2003-01-17,1 - Restaurant,-78.78068643,35.73567118,"35.73567824535509, -78.78068907847992"
369,04092014707,STARBUCKS COFFEE # 10967,1217 KILDAIRE FARM RD,,CARY,NC,27511,(919) 465-1229,2006-10-27,1 - Restaurant,-78.78312951,35.76377001,"35.76377708356433, -78.783132158995"
389,04092014873,TAQUERIA RANCHO GRANDE,1401 SE MAYNARD RD,,CARY,NC,27511,(919) 469-4245,2007-05-22,1 - Restaurant,-78.76423194,35.78997868,"35.78998575471259, -78.76423458957895"
405,04092014976,"BRUEGGER'S BAGEL BAKERY #0701",8204-113 TRYON WOODS DR,,CARY,NC,27518,(919) 851-0906,2007-10-17,1 - Restaurant,-78.74322595,35.74716476,"35.74717183250092, -78.74322858915211"
418,04092015050,CHIPOTLE MEXICAN GRILL #1087,100-103 WRENN DR,,CARY,NC,27511,(919) 462-1223,2008-01-22,1 - Restaurant,-78.78400793,35.76514685,"35.76515391610388, -78.7840105810301"
433,04092015115,SUPER WOK,1401-L SE MAYNARD RD,,CARY,NC,27511,(919) 388-8338,2008-04-23,1 - Restaurant,-78.76423194,35.78997868,"35.78998575471259, -78.76423458957895"
481,04092015371,SPIRITS PUB   GRUB,701 E CHATHAM ST,,CARY,NC,27511,(919) 462-7001,2009-04-07,1 - Restaurant,-78.76531594,35.79216551,"35.79217258625757, -78.76531858623396"
500,04092015523,BOCCI TRATTORIA   PIZZERIA,2425 KILDAIRE FARM RD,STE 201,CARY,NC,27518,(919) 803-5358,2009-11-19,1 - Restaurant,-78.77660652,35.72829269,"35.72829975451799, -78.7766091704435"
525,04092015625,BOJANGLES #42,840 E CHATHAM ST,,CARY,NC,27511,(919) 467-7030,2010-04-19,1 - Restaurant,-78.76021378,35.79096843,"35.7909755027135, -78.76021642457408"
526,04092015636,WALTONWOOD AT CARY DINING,750 SE CARY PKY,,CARY,NC,27511,(919) 460-7330,2010-05-14,1 - Restaurant,-78.77481851,35.74902684,"35.749033910257204, -78.7748211623987"
546,04092015729,"JASON'S DELI # 162",210 CROSSROADS BLVD,,CARY,NC,27518,(919) 233-6901,2010-09-24,1 - Restaurant,-78.73871469,35.76064643,"35.76065349732471, -78.73871732686946"
561,04092015798,BOJANGLES,3025 WINSTON HILL DR,,CARY,NC,27519,(919) 460-9224,2010-10-21,1 - Restaurant,-78.84654483,35.78948326,"35.78949033548892, -78.84654750016333"
1780,04092018867,BOSPHORUS RESTAURANT,329 N HARRISON AVE,,CARY,NC,27513,(919) 460-1300,2022-05-11,1 - Restaurant,-78.78373893,35.78994983,"35.78995691068734, -78.78374158678545"
1781,04092018869,"MOE'S SOUTHWEST GRILL - WEST CARY",5020 ARCO ST,,CARY,NC,27519,(919) 230-1720,2022-05-12,1 - Restaurant,-78.88191823,35.83348308,"35.83349016139615, -78.8819209102438"
1785,04092018874,CHICK-FIL-A #1218,411 COLONADES WAY,,CARY,NC,27518,(919) 816-8222,2022-05-20,1 - Restaurant,-78.7769391,35.74057794,"35.740585005770576, -78.77694175102017"
1792,04092018886,PARAGON THEATER,21 FENTON MAIN ST,110,CARY,NC,27511,(919) 473-9676,2022-06-07,1 - Restaurant,-78.75946535,35.78159001,"35.78159708404962, -78.75946799978286"
1814,04092018913,GOLDEN CHINA,2432 SW CARY PKY,,CARY,NC,27513,(919) 380-7891,2022-07-18,1 - Restaurant,-78.82085568,35.76364284,"35.7636499105793, -78.82085834054683"
1815,04092018914,LA VICTORIA,2025 RENAISSANCE PARK PL,,CARY,NC,27513,(919) 602-4152,2022-07-20,1 - Restaurant,-78.77209635,35.82792133,"35.82792841352513, -78.7720989972734"
1898,04092019030,BRIGS AT THE CROSSING,1225 NW MAYNARD RD,,CARY,NC,27513-8720,(919) 481-9300,2023-01-01,1 - Restaurant,-78.81241251,35.78438851,"35.78439558119845, -78.81241516764706"
1959,04092019105,SAFFRON,2048 KILDAIRE FARM RD,,CARY,NC,27518,(919) 917-7568,2023-04-15,1 - Restaurant,-78.78068643,35.73567118,"35.73567824535509, -78.78068907847992"
2078,04092019244,SAAP,370 S WALKER ST,,CARY,NC,27511,,2023-11-03,1 - Restaurant,-78.77921059,35.78340809,"35.78341516763001, -78.77921324607762"
2144,04092019325,SHINMAI,1904 NW MAYNARD RD,102,CARY,NC,27513-4998,,2024-03-04,1 - Restaurant,-78.7949041,35.79887976,"35.79888683812391, -78.79490675758811"
2264,04092019458,TIGER SUGAR,1969 HIGH HOUSE RD,,CARY,NC,27519,,2024-07-09,1 - Restaurant,-78.84865558,35.78922067,"35.78922774315409, -78.84865825132587"
2318,04092020713,HARRIS TEETER #257 PRODUCE,2080 KILDAIRE FARM RD,,CARY,NC,27511-6614,(919) 233-9483,1996-02-16,2 - Food Stands,-78.78068643,35.73567118,"35.73567824535509, -78.78068907847992"
2321,04092020817,"LOWES FOODS # 162 MEAT, SEAFOOD, AND SAUSAGES",6430 TRYON RD,,CARY,NC,27511-7050,(919) 859-9335,1997-09-11,2 - Food Stands,-78.76155635,35.7455991,"35.74560616778627, -78.76155899197015"
2336,04092020945,COOK OUT,1607 WALNUT ST,,CARY,NC,27511-5928,(919) 319-5414,2000-05-16,2 - Food Stands,-78.7480902,35.76411252,"35.76411958687968, -78.74809283878477"
2403,04092021196,HARRIS TEETER #112 PRODUCE,270 GRANDE HEIGHTS DR,,CARY,NC,27513,(919) 460-4326,2003-06-24,2 - Food Stands,-78.78059125,35.80471168,"35.80471875401835, -78.78059390784402"
2468,04092021413,FRESH MARKET #8 SEAFOOD,3655 CARY PKY,,CARY,NC,27511,(919) 481-2865,2006-10-31,2 - Food Stands,-78.83800517,35.78179735,"35.78180441901703, -78.83800784077582"
2469,04092021414,FRESH MARKET #8 DELI,3655 CARY PKWY,,CARY,NC,27513,(919) 481-2865,2006-10-31,2 - Food Stands,-78.83800517,35.78179735,"35.78180441901703, -78.83800784077582"
2478,04092021457,USA BASEBALL CONCESSION STAND,250 BROOKS PARK LN,,CARY,NC,27519,(919) 387-5844,2007-06-14,2 - Food Stands,-78.89258974,35.79722226,"35.797229329652886, -78.8925924218375"
2486,04092021495,HARRIS TEETER #298 PRODUCE,10140 GREEN LEVEL CHURCH RD,,CARY,NC,27519,(919) 460-3126,2007-12-13,2 - Food Stands,-78.90107972,35.82060442,"35.82061149665113, -78.9010824133322"
2505,04092021549,HARRIS TEETER #257 MEAT/SEAFOOD,2080 KILDAIRE FARM RD,,CARY,NC,27511,(919) 233-9483,2008-09-19,2 - Food Stands,-78.78068643,35.73567118,"35.73567824535509, -78.78068907847992"
2518,04092021586,HARRIS TEETER #331 MEAT/SEAFOOD,3430 TEN TEN RD,,CARY,NC,27518,(919) 387-8272,2009-09-24,2 - Food Stands,-78.79278394,35.70189503,"35.70190208344232, -78.7927865865394"
2551,04092021700,"JET'S PIZZA",1253 NW MAYNARD RD,,CARY,NC,27513,(919) 469-4949,2012-01-25,2 - Food Stands,-78.81241251,35.78438851,"35.78439558119845, -78.81241516764706"
2557,04092021721,WALMART 4157 NEIGHBORHOOD MARKET DELI,2750 NC 55  HWY,,CARY,NC,27519,(919) 335-0051,2012-09-28,2 - Food Stands,-78.8696779,35.78629718,"35.78630425140311, -78.86968057553531"
2566,04092021749,WALMART NEIGHBORHOOD MARKET #2414,973 N HARRISON AVE,,CARY,NC,27513,(919) 337-9780,2013-07-12,2 - Food Stands,-78.78451819,35.80143568,"35.80144275476601, -78.7845208415064"
2593,04092021816,HARRIS TEETER #430 - MEAT/SEAFOOD,885 WALNUT STREET,,CARY,NC,27511,(919) 481-4251,2014-10-15,2 - Food Stands,-78.76562102,35.77485801,"35.77486508330142, -78.76562366458889"
2700,04092021993,H MART DON-DON,1961 HIGH HOUSE RD,,CARY,NC,27519,(919) 535-5900,2016-12-22,2 - Food Stands,-78.84865558,35.78922067,"35.78922774315409, -78.84865825132587"
2701,04092021996,H MART MEAT DEPARTMENT,1961 HIGH HOUSE RD,,CARY,NC,27519,(919) 535-5900,2016-12-22,2 - Food Stands,-78.84865558,35.78922067,"35.78922774315409, -78.84865825132587"
2703,04092021994,H MART RTC DEPARTMENT,1961 HIGH HOUSE RD,,CARY,NC,27519,(919) 535-5900,2016-12-22,2 - Food Stands,-78.84865558,35.78922067,"35.78922774315409, -78.84865825132587"
2714,04092022014,HARRIS TEETER #298 STARBUCKS,10140 GREEN LEVEL CHURCH RD,,CARY,NC,27519,(919) 460-3126,2017-05-16,2 - Food Stands,-78.90107972,35.82060442,"35.82061149665113, -78.9010824133322"
2759,04092025233,PUBLIX 1552 SEAFOOD,425 EMISSARY DR,,CARY,NC,27519,(919) 388-7201,2018-11-02,2 - Food Stands,-78.90353622,35.82486983,"35.824876910118476, -78.90353891061324"
2762,04092025234,PUBLIX 1552 MEAT,425 EMISSARY DR,,CARY,NC,27519,(919) 388-7201,2018-11-02,2 - Food Stands,-78.90353622,35.82486983,"35.824876910118476, -78.90353891061324"
